n,trial,method,length,time,approx_ratio
6,0,optimal,252.09389298013684,5.02499997310224e-05,1.0
6,0,nearest_neighbor,259.3250437562197,1.6166999557754025e-05,1.0286843552241571
6,0,two_opt,259.3250437562197,6.374999429681338e-06,1.0286843552241571
6,1,optimal,229.11216804355797,5.7750000451051164e-05,1.0
6,1,nearest_neighbor,229.11216804355797,1.5834000805625692e-05,1.0
6,1,two_opt,229.11216804355797,7.0000005507608876e-06,1.0
6,2,optimal,250.78955815832677,5.487500038725557e-05,1.0
6,2,nearest_neighbor,251.83840567275809,1.287500072066905e-05,1.0041821817548287
6,2,two_opt,251.83840567275809,5.249999958323315e-06,1.0041821817548287
6,3,optimal,231.71681203294943,5.387500004871981e-05,1.0
6,3,nearest_neighbor,231.71681203294946,1.2541000614874065e-05,1.0000000000000002
6,3,two_opt,231.71681203294946,4.875000740867108e-06,1.0000000000000002
6,4,optimal,239.37144993087293,5.308399977366207e-05,1.0
6,4,nearest_neighbor,250.3357749227674,1.2083000001439359e-05,1.045804647943858
6,4,two_opt,239.37144993087293,5.750000127591193e-06,1.0
6,5,optimal,235.3922410723117,5.225000040809391e-05,1.0
6,5,nearest_neighbor,235.3922410723117,1.1958999493799638e-05,1.0
6,5,two_opt,235.3922410723117,4.417000127432402e-06,1.0
6,6,optimal,276.81335386042315,5.2041999879293144e-05,1.0
6,6,nearest_neighbor,284.67374954435064,1.2167000022600405e-05,1.0283960133219978
6,6,two_opt,284.67374954435064,4.415999683260452e-06,1.0283960133219978
6,7,optimal,230.5372695573769,5.2999999752501026e-05,1.0
6,7,nearest_neighbor,230.5372695573769,1.195799995912239e-05,1.0
6,7,two_opt,230.5372695573769,4.249999619787559e-06,1.0
6,8,optimal,139.9747987163961,5.200000032345997e-05,1.0
6,8,nearest_neighbor,139.9747987163961,1.2166000487923156e-05,1.0
6,8,two_opt,139.9747987163961,4.37500057159923e-06,1.0
6,9,optimal,171.17299625184177,5.2458000027399976e-05,1.0
6,9,nearest_neighbor,171.1729962518418,1.2083999536116607e-05,1.0000000000000002
6,9,two_opt,171.1729962518418,4.417000127432402e-06,1.0000000000000002
8,0,optimal,222.41224370333128,0.0025956249992304947,1.0
8,0,nearest_neighbor,222.41224370333128,2.2959000489208847e-05,1.0
8,0,two_opt,222.41224370333128,1.2000000424450263e-05,1.0
8,1,optimal,254.04485254688862,0.0026312499994674,1.0
8,1,nearest_neighbor,254.04485254688862,2.8415999622666277e-05,1.0
8,1,two_opt,254.04485254688862,1.4541000382450875e-05,1.0
8,2,optimal,234.7057386163454,0.002779749999717751,1.0
8,2,nearest_neighbor,240.99520426279992,2.45829996856628e-05,1.0267972384635018
8,2,two_opt,237.12725982174993,2.3292000150831882e-05,1.010317264587053
8,3,optimal,203.97769010512738,0.002679166000234545,1.0
8,3,nearest_neighbor,211.10235896489604,2.2125000214145985e-05,1.034928667228738
8,3,two_opt,211.10235896489604,1.0584000847302377e-05,1.034928667228738
8,4,optimal,290.26999762325926,0.0025047910003195284,1.0
8,4,nearest_neighbor,300.2750885668885,2.1916999685345218e-05,1.0344682227772461
8,4,two_opt,290.45776536269653,2.4957999812613707e-05,1.0006468727080813
8,5,optimal,274.0114038136608,0.0025660000001153094,1.0
8,5,nearest_neighbor,274.0114038136608,2.6249999791616574e-05,1.0
8,5,two_opt,274.0114038136608,1.2125000466767233e-05,1.0
8,6,optimal,257.80452831466937,0.0028791659997295938,1.0
8,6,nearest_neighbor,264.36397876555213,2.5708000066515524e-05,1.025443503625648
8,6,two_opt,257.80452831466937,1.7083999409805983e-05,1.0
8,7,optimal,214.26447934279466,0.0026792500002557063,1.0
8,7,nearest_neighbor,214.26447934279466,2.1707999621867202e-05,1.0
8,7,two_opt,214.26447934279466,1.049999991664663e-05,1.0
8,8,optimal,295.51924843807217,0.0024880419996407,1.0
8,8,nearest_neighbor,295.51924843807217,2.2291999812296126e-05,1.0
8,8,two_opt,295.51924843807217,1.0416000804980285e-05,1.0
8,9,optimal,204.6072893056997,0.002711125000132597,1.0
8,9,nearest_neighbor,204.60728930569974,2.591700012999354e-05,1.0000000000000002
8,9,two_opt,204.60728930569974,1.2209000487928279e-05,1.0000000000000002
10,0,optimal,308.93743164538824,0.22354141699997854,1.0
10,0,nearest_neighbor,308.9374316453882,3.937499968742486e-05,0.9999999999999998
10,0,two_opt,308.9374316453882,2.2541000362252817e-05,0.9999999999999998
10,1,optimal,309.1418267908837,0.23849358299958112,1.0
10,1,nearest_neighbor,314.6216990029062,4.9500000386615284e-05,1.017726078249933
10,1,two_opt,314.6216990029062,2.6959000024362467e-05,1.017726078249933
10,2,optimal,250.9279504879158,0.23286758399990504,1.0
10,2,nearest_neighbor,268.744822704622,4.9415999455959536e-05,1.071003936317426
10,2,two_opt,256.67122771368156,6.629200015595416e-05,1.022888152613522
10,3,optimal,262.20881777951297,0.231668250000439,1.0
10,3,nearest_neighbor,262.20881777951297,4.004200036433758e-05,1.0
10,3,two_opt,262.20881777951297,2.1791999643028248e-05,1.0
10,4,optimal,322.60800586130887,0.22781170800044492,1.0
10,4,nearest_neighbor,342.31504573472006,3.5541000215744134e-05,1.0610866423503555
10,4,two_opt,340.45394373197195,1.9874999452440534e-05,1.055317715451659
10,5,optimal,312.11113313956673,0.23165470799995092,1.0
